waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.9281604,4.9911112E-5,0.072,3.5,4.0,NaN,NaN,,1776883201810
2,2.0,0.0,2.050281,0.04229801,0.066,3.5,4.0,NaN,NaN,,1776883204560
3,3.0,0.0,3.0901265,0.3736759,0.384,3.5,4.0,3.5006316,-7.5186863,11.519,1776883207005
4,3.0,1.0,3.3985424,1.6820811,0.790,3.5,4.0,2.4022207,2.6061592,1.774,1776883210583
5,2.0,1.0,2.380946,0.6682155,0.505,3.5,4.0,2.5201488,2.2965815,1.965,1776883214282
6,1.0,1.0,1.3070233,0.3748426,0.696,3.5,4.0,2.5651355,1.6764398,2.505,1776883217128
7,0.0,1.0,0.7777285,0.060731746,1.219,3.5,4.0,2.5422869,1.783622,2.414,1776883219644
8,0.0,2.0,0.23875956,2.060916,0.246,3.5,4.0,2.2076166,2.705433,1.829,1776883224033
9,1.0,2.0,1.0477664,1.414492,0.587,3.5,4.0,2.2963958,2.3661802,2.029,1776883228151
10,2.0,2.0,1.3708854,1.2665398,0.966,3.5,4.0,2.2706337,2.4870908,1.949,1776883231062
11,3.0,2.0,2.5266342,1.2214689,0.911,3.5,4.0,2.2273614,2.434499,2.018,1776883234047
12,3.0,3.0,3.6626453,2.1653597,1.066,3.5,4.0,2.2963789,2.4781618,1.940,1776883237853
13,2.0,3.0,2.397244,2.1784697,0.913,3.5,4.0,2.306869,2.5067916,1.911,1776883242144
14,1.0,3.0,1.2020562,1.7240272,1.292,3.5,4.0,2.3863487,2.2969792,2.035,1776883245133
15,0.0,3.0,0.09279639,2.0426297,0.962,3.5,4.0,2.716638,1.7163576,2.414,1776883247573
16,0.0,4.0,-1.8444172,4.2917523,1.867,3.5,4.0,1.801075,2.9003575,2.024,1776883252645
17,1.0,4.0,0.18917821,3.6491928,0.883,3.5,4.0,1.5122542,3.2935498,2.110,1776883258051
18,2.0,4.0,1.3408725,3.1990151,1.037,3.5,4.0,1.5070307,3.2704504,2.122,1776883261126
19,3.0,4.0,2.1326234,3.0035126,1.321,3.5,4.0,1.4769872,3.228476,2.165,1776883264021
